"Артикул";"Название";"Категория";"Цена_руб";"Старая_цена_руб";"Скидка_проц";"Описание";"Комплектация";"Характеристики";"Фото_URL";"Ссылка_на_товар"
"1896479346";"Резервный источник питания 300W 72000mAh 230wh";"Электроника > Компьютеры и периферия > Периферия > ИБП и аксессуары";"21321";"155000";"86";"Независимость везде
Ищете надёжный источник энергии для кемпинга, рыбалки или аварийного питания дома? Портативная электростанция NIKASS с ёмкостью 72 000 мАч 3.2V и мощностью 300 Вт — ваш идеальный спутник в любых условиях!

Почему выбирают NIKASS 300 Вт?
✅ Заряжайте до 10 устройств одновременно: телефоны, ноутбуки, дроны, проекторы, рации и даже мини-холодильники.
✅ Быстрая зарядка + сквозное питание: подключайте гаджеты без остановки работы станции.
✅ Безопасность превыше всего: защита от перегрузок, перегрева и короткого замыкания.
✅ Суперкомпактный дизайн: всего 2.9 кг, встроенная ручка и размер чемоданчика — идеально для рюкзака или багажника.

То что нужно
Кемпинг и походы: освещение палатки, зарядка GPS-навигатора, работа мини-вентилятора.

Рыбалка и охота: питание эхолота, рации, камеры ночного видения.

Дом и дача: резервное питание роутера, медицинской техники, светильников при отключении электричества.

Путешествия на авто: подзарядка ноутбука в дороге, работа электрогриля на пикнике.

Преимущества
- Розетка 220 В + 4 USB-порта (включая Type-C) + DC-выходы.
- LIFEPO4 аккумулятор 3,2 V с увеличенным сроком службы.
- Солнечная зарядка (опционально) — используйте энергию солнца в походных условиях.

Не теряйте комфорт даже в экстремальных условиях!
С NIKASS вы не зависите от розеток: заряжайте гаджеты, подключайте технику и сохраняйте уверенность в завтрашнем дне. Это не просто повербанк с розеткой — это автономная энергосистема, которая помещается в одной руке";"Портативная зарядная станция, АС адаптер (блок питания), руководство пользователя";"Артикул
1896479346
Вид ИБП
Резервный (Back UPS)
Активная мощность, Вт
300
Цвет
Серый
Тип аккумулятора
LiFePo4 (литий-железо-фосфатный)
Емкость, А•ч
72
Входное напряжение
14,6 В
Выходное напряжение
220 В
Особенности ИБП
Индикация
Длина, мм
235
Ширина, мм
165
Высота, мм
221
Размеры, мм
235х165х221 мм
Вес товара, г
2900
Гарантия
12 месяцев
Срок службы, лет
5
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-3/wc1000/7347824103.jpg";"https://www.ozon.ru/product/rezervnyy-istochnik-pitaniya-300w-72000mah-230wh-1896479346/?_bctx=CAMQxYakMA&at=1kyl1Qk6kBz6WoTt1bv18AlJTDC8gH5C"
"2451550083";"NIKASS Портативная солнечная панель, 30 Вт";"Туризм, рыбалка, охота > Туризм и отдых на природе > Фонари и аксессуары > Солнечные панели и аксессуары";"3306";"16500";"79";"Гибкая солнечная панель
Панель применяется в составе солнечных модулей, солнечных энергосистем и других, связанных с солнечной энергией, областях.
Применение
Зарядка портативных устройств (смартфоны, пауэрбанки)
Питание освещения и оборудования в кемпинге
Установка на автодома, прицепы, лодки
Автономное питание видеонаблюдения и малых систем
Характеристики
• Длина провода: 3 м
• Мощность: 30 Вт
• Напряжение: 18 В
• Ток: 1.6 A
• Напряжение холостого хода: 21.7 В
• Ток короткого замыкания: 1.8 A
• Размер: 424.5 × 400 × 1.7 мм
• Тип: Гибкая
• Макс. напряжение системы: 1000 В";"Солнечная панель, инструкция, упаковка";"Артикул
2451550083
Тип
Портативная солнечная панель
Макс. напряжение, В
18
Вес товара, г
700
Степень защиты от влаги и пыли
IP65
Модель светодиода
Монокристаллическая солнечная панель
Гарантия
12 месяцев
Кол-во светодиодов
32
Макс. ток, А
1.6
Тип элементов питания
Элементы питания B
Мощность, Вт
30
Цвет
Светло-серый
Размер (ДхШхВ), см
42.45 см x 40 см x 2 см
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-p/wc1000/7725708313.jpg";"https://www.ozon.ru/product/nikass-portativnaya-solnechnaya-panel-30-vt-2451550083/?_bctx=CAMQxYakMA&at=1kyl1VE5sBnjxGAg3-bRoD-C-InIzOpD"
"5539264041";"Солнечная панель 30 Ватт, 18 Вольт, 1.63 A";"Товары для животных > Фермерское хозяйство > Оборудование > Электропастухи и комплектующие";"4176";"16500";"74";"Солнечная панель 30 Вт для электропастуха
Солнечная панель NIKASS 30 Вт отлично подходит для организации автономного питания электропастуха в местах, где отсутствует доступ к электросети.
Основные материалы
Ультрабелое закалённое стекло, RET, EVA, светоотражающая плёнка
Характеристики
- Длина провода 3 метра с сечением 2 х 0.5 мм²
- Расчетное напряжение 18V
- Мощность 30 W
- Размер 530 мм х 350 мм

Меры предосторожности:

- Не сгибать
- Не превышать диапазон энергопотребления
- Избегайте царапин твердыми предметами во время использования
- Избегайте контакта с коррозийными веществами";"Солнечная панель, инструкция, упаковка";"Артикул
5539264041
Тип
Солнечная батарея для электропастуха
Единиц в одном товаре
1
Размеры, мм
530 x 350
Страна-изготовитель
Россия
Гарантия
12 месяцев";"https://ir.ozone.ru/s3/multimedia-1-k/wc1000/14113711172.jpg";"https://www.ozon.ru/product/solnechnaya-panel-30-vatt-18-volt-1-63-a-5539264041/?_bctx=CAMQxYakMA&at=1kyl1WAtqRP2tC27ulFmEeQX1C488IQa"
"3491056653";"NIKASS Внешний аккумулятор PowerBank, 50000 мАч, черный";"Электроника > Аксессуары для электроники > Внешние аккумуляторы";"3599";"25000";"85";"Внешний аккумулятор Power Bank
Внешний аккумулятор Power Bank / Повербанк 50000 mAh от NIKASS: Ваш надежный источник энергии на каждый день ⚡️

Устали от разряженных устройств в самый неподходящий момент? С Power Bank 50000 mAh от Nikass ваши гаджеты всегда будут заряжены, где бы Вы ни находились — дома, в дороге или на отдыхе. Это мощное устройство, которое станет незаменимым спутником для каждого, кто ценит комфорт и надежность.

Основные преимущества:
🔋 Габариты — высота: 149 мм, ширина: 70 мм, глубина: 71 мм, легко помещается в рюкзак или сумку, обеспечивая удобство использования в любых условиях.
🔋 Вес — 960 гр., достаточно компактный для транспортировки.
🔋 Максимальная емкость — 50000 mAh, заряжайте свой смартфон до 10 раза или планшет до 5 раз. Забудьте о поиске розетки!
🔋 Совместимость — подходит для любых устройств: iPhone, Samsung, Huawei, Xiaomi, ноутбуков, планшетов, наушников, смарт-часов, колонок и другой техники. Порты USB, Micro, Type-C, Lightning, съемные кабеле обеспечивают универсальность.
🔋 Быстрая зарядка — 22.5W, поддержка технологии быстрой зарядки позволяет восполнять заряд за короткое время, экономя ваше время.
🔋 Безопасность — защита от перегрева, короткого замыкания и перепадов напряжения гарантирует сохранность ваших гаджетов.
🔋 Подвесная ручка — удобно для переноски и подвешивания устройства.
Идеален для использования в любых условиях:
— На природе: Незаменим в походах, кемпингах, на пикниках, охоте и рыбалке. Заряжает гаджеты вдали от цивилизации.
— В путешествиях: Идеален для зарядки устройств в дороге, будь то автомобильные поездки или длительные перелёты. Оставайтесь на связи даже вдали от дома.
— Дома: Спасёт при отключении электроэнергии, обеспечив подзарядку смартфонов, планшетов и других устройств.
— Для военных в СВО: Надёжный источник энергии в полевых условиях, устойчивый к нагрузкам и незаменимый в экстренных ситуациях.
— Подарок: Универсальный и полезный презент, подходящий каждому.
Почему выбирают нас?
✅ Качество: Мы продаем только сертифицированные устройства, которые прошли все необходимые проверки и соответствуют высоким стандартам безопасности и надежности.
✅ Универсальность: Наши Power Bank подходят для зарядки всех современных гаджетов, будь-то смартфоны, планшеты или ноутбуки — универсальность в каждой детали.
✅ Гарантия: Мы уверены в качестве нашей продукции, поэтому предоставляем гарантию на все устройства. В случае брака — возврат или обмен без проблем.";"PowerBank";"Артикул
3491056653
Емкость, мА•ч
50000
Тип
Внешний аккумулятор
Выходные интерфейсы
USB, microUSB, Lightning, USB Type-C
Количество выходных разъемов
8
Назначение
Универсальный
Быстрая зарядка
Да
Основной материал корпуса
Пластик
Функция беспроводной зарядки
Нет
Химический тип
LiPol (литий-полимерный)
Цвет
Черный
Входные интерфейсы
Lightning, USB Type-C, USB
Количество в упаковке, шт
1
Размеры, мм
149 x 71 x 70
Вес товара, г
960
Упаковка
Картонная коробка
Гарантия
12 месяцев
Страна-изготовитель
Россия
Особенности: Индикатор емкости, Быстрая зарядка Quick Charge, Зарядка двух устройств, Зарядка ноутбуков";"https://ir.ozone.ru/s3/multimedia-1-2/wc1000/9009058250.jpg";"https://www.ozon.ru/product/nikass-vneshniy-akkumulyator-powerbank-50000-mach-chernyy-3491056653/?_bctx=CAMQxYakMA&at=1kyl1XuakL56BDTbnMiN2WOvFOa1S5OP"
"2365402536";"Резервный источник питания 300 Вт 64000 mAh 205Wh";"Электроника > Компьютеры и периферия > Периферия > ИБП и аксессуары";"17041";"87500";"80";"Независимость везде
Ищете надёжный источник энергии для кемпинга, рыбалки или аварийного питания дома? Портативная электростанция NIKASS с ёмкостью 64 000 мАч 3.2v и мощностью 300 Вт — ваш идеальный спутник в любых условиях!

Почему выбирают NIKASS 300 Вт?
✅ Заряжайте до 7 устройств одновременно: телефоны, ноутбуки, дроны, проекторы, рации и даже мини-холодильники.
✅ Быстрая зарядка + сквозное питание: подключайте гаджеты без остановки работы станции.
✅ Безопасность превыше всего: защита от перегрузок, перегрева и короткого замыкания.
✅ Суперкомпактный дизайн: всего 3 кг, встроенная ручка и размер чемоданчика — идеально для рюкзака или багажника.

То что нужно
Кемпинг и походы: освещение палатки, зарядка GPS-навигатора, работа мини-вентилятора.

Рыбалка и охота: питание эхолота, рации, камеры ночного видения.

Дом и дача: резервное питание роутера, медицинской техники, светильников при отключении электричества.

Путешествия на авто: подзарядка ноутбука в дороге, работа электрогриля на пикнике.

Преимущества
- Розетка 220 В + 4 USB-порта (включая Type-C) + DC-выходы.
- LIFEPO4 аккумулятор 3,2 V с увеличенным сроком службы.
- Солнечная зарядка (опционально) — используйте энергию солнца в походных условиях.

Не теряйте комфорт даже в экстремальных условиях!
С NIKASS вы не зависите от розеток: заряжайте гаджеты, подключайте технику и сохраняйте уверенность в завтрашнем дне. Это не просто повербанк с розеткой — это автономная энергосистема, которая помещается в одной руке";"Портативная зарядная станция, АС адаптер (блок питания), руководство пользователя";"Артикул
2365402536
Вид ИБП
Резервный (Back UPS)
Активная мощность, Вт
300
Цвет
Оранжевый
Тип аккумулятора
LiFePo4 (литий-железо-фосфатный)
Емкость, А•ч
64
Входное напряжение
14,6 В
Выходное напряжение
220 В
Особенности ИБП
Индикация
Длина, мм
215
Ширина, мм
123
Высота, мм
130
Размеры, мм
215x123x130 мм
Вес товара, г
2770
Гарантия
12 месяцев
Срок службы, лет
5
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-y/wc1000/14693388910.jpg";"https://www.ozon.ru/product/rezervnyy-istochnik-pitaniya-300-vt-64000-mah-205wh-2365402536/?_bctx=CAMQxYakMA&at=1kyl1XCc5dzkyl4U5tXTren38JT3yy_-"
"5370712388";"NIKASS Портативная солнечная панель, 60 Вт";"Туризм, рыбалка, охота > Туризм и отдых на природе > Фонари и аксессуары > Солнечные панели и аксессуары";"5264";"36500";"85";"Гибкая солнечная панель
Панель применяется в составе солнечных модулей, солнечных энергосистем и других, связанных с солнечной энергией, областях.
Применение
Зарядка портативных устройств (смартфоны, пауэрбанки)
Питание освещения и оборудования в кемпинге
Установка на автодома, прицепы, лодки
Автономное питание видеонаблюдения и малых систем
Характеристики
• Длина провода: 3 м
• Мощность: 30 Вт
• Напряжение: 18 В
• Ток: 1.6 A
• Напряжение холостого хода: 21.7 В
• Ток короткого замыкания: 1.8 A
• Размер: 424.5 × 400 × 1.7 мм
• Тип: Гибкая
• Макс. напряжение системы: 1000 В";"Солнечная панель 2 шт, инструкция, упаковка";"Артикул
5370712388
Тип
Портативная солнечная панель
Макс. напряжение, В
18
Вес товара, г
700
Степень защиты от влаги и пыли
IP65
Модель светодиода
Монокристаллическая солнечная панель
Гарантия
12 месяцев
Кол-во светодиодов
32
Макс. ток, А
1.6
Тип элементов питания
Элементы питания B
Мощность, Вт
60
Цвет
Светло-серый
Размер (ДхШхВ), см
42.45 см x 40 см x 2 см
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-y/wc1000/13543261666.jpg";"https://www.ozon.ru/product/nikass-portativnaya-solnechnaya-panel-60-vt-5370712388/?_bctx=CAMQxYakMA&at=1kyl1-vQvya2VBMCgAdIWJmK8ij7i_q6"
"1755723032";"NIKASS Портативная зарядная станция 300W, 205Wh, 64000 мАч, 300 Вт, оранжевый";"Электроника > Аксессуары для электроники > Внешние аккумуляторы";"19513";"";"";"Независимость везде
Ищете надёжный источник энергии для кемпинга, рыбалки или аварийного питания дома? Портативная электростанция NIKASS с ёмкостью 64 000 мАч 3.2V и мощностью 300 Вт — ваш идеальный спутник в любых условиях!

Почему выбирают NIKASS 300 Вт?
✅ Заряжайте до 7 устройств одновременно: телефоны, ноутбуки, дроны, проекторы, рации и даже мини-холодильники.
✅ сквозное питание: подключайте гаджеты без остановки работы станции.
✅ Безопасность превыше всего: защита от перегрузок, перегрева и короткого замыкания.
✅ Суперкомпактный дизайн: всего 3 кг, встроенная ручка и размер чемоданчика — идеально для рюкзака или багажника.

То что нужно
Кемпинг и походы: освещение палатки, зарядка GPS-навигатора, работа мини-вентилятора.

Рыбалка и охота: питание эхолота, рации, камеры ночного видения.

Дом и дача: резервное питание роутера, медицинской техники, светильников при отключении электричества.

Путешествия на авто: подзарядка ноутбука в дороге, работа электрогриля на пикнике.

Преимущества
- Розетка 220 В + 4 USB-порта (включая Type-C) + DC-выходы.
- LIFEPO4 аккумулятор 3,2 V с увеличенным сроком службы.
- Солнечная зарядка (опционально) — используйте энергию солнца в походных условиях.

Не теряйте комфорт даже в экстремальных условиях!
С NIKASS вы не зависите от розеток: заряжайте гаджеты, подключайте технику и сохраняйте уверенность в завтрашнем дне. Это не просто повербанк с розеткой — это автономная энергосистема, которая помещается в одной руке";"Портативная станция, блок питания, руководство пользователя";"Артикул
1755723032
Емкость, мА•ч
64000
Тип
Портативная зарядная станция
Выходные интерфейсы
USB, USB Type-C, DC, AC
Количество выходных разъемов
7
Макс. выходной ток
5
Назначение
Для бытовых приборов
Быстрая зарядка
Нет
Выходное напряжение
220 В
Основной материал корпуса
Пластик
Функция беспроводной зарядки
Нет
Химический тип
LiFePo4 (литий-железо-фосфатный)
Цвет
Оранжевый
Активная мощность, Вт
300
Входное напряжение
14,6 В
Входные интерфейсы
DC
Количество в упаковке, шт
1
Размеры, мм
215x123x130 мм
Вес товара, г
2770
Упаковка
Коробка
Гарантия
12 месяцев
Срок службы, лет
5
Страна-изготовитель
Россия
Особенности: Зарядка двух устройств, Зарядка ноутбуков, Индикатор емкости, Дисплей, Зарядка Type-C";"https://ir.ozone.ru/s3/multimedia-1-h/wc1000/14693391449.jpg";"https://www.ozon.ru/product/nikass-portativnaya-zaryadnaya-stantsiya-300w-205wh-64000-mach-300-vt-oranzhevyy-1755723032/?_bctx=CAMQxYakMA&at=1kyl1PCA7Kd_2-M0zOGegKtU6-BnVht3"
"1755807862";"NIKASS Портативная зарядная станция 150W, 220V, 48000 мАч, 150 Вт, серый";"Электроника > Аксессуары для электроники > Внешние аккумуляторы";"14294";"33000";"56";"Независимость везде
Ищете надёжный источник энергии для кемпинга, рыбалки или аварийного питания дома? Портативная электростанция NIKASS с ёмкостью 48 000 мАч 3.2V и мощностью 150 Вт — ваш идеальный спутник в любых условиях!

Почему выбирают NIKASS 150 Вт?
✅ Заряжайте до 10 устройств одновременно: телефоны, ноутбуки, дроны, проекторы, рации и даже мини-холодильники.
✅ Быстрая зарядка + сквозное питание: подключайте гаджеты без остановки работы станции.
✅ Безопасность превыше всего: защита от перегрузок, перегрева и короткого замыкания.
✅ Суперкомпактный дизайн: всего 2,4 кг, встроенная ручка и размер чемоданчика — идеально для рюкзака или багажника.

То что нужно
Кемпинг и походы: освещение палатки, зарядка GPS-навигатора, работа мини-вентилятора.

Рыбалка и охота: питание эхолота, рации, камеры ночного видения.

Дом и дача: резервное питание роутера, зарядка телефоном и планшетов, светильников при отключении электричества.

Путешествия на авто: подзарядка ноутбука в дороге, освещение.

Преимущества
- Розетка 220 В + 4 USB-порта (включая Type-C) + DC-выходы.
- LIFEPO4 аккумулятор 3,2 V с увеличенным сроком службы.
- Солнечная зарядка (опционально) — используйте энергию солнца в походных условиях.

Не теряйте комфорт даже в экстремальных условиях!
С NIKASS вы не зависите от розеток: заряжайте гаджеты, подключайте технику и сохраняйте уверенность в завтрашнем дне. Это не просто повербанк с розеткой — это автономная энергосистема, которая помещается в одной руке";"Портативная зарядная станция, АС адаптер (блок питания), руководство пользователя";"Артикул
1755807862
Емкость, мА•ч
48000
Тип
Портативная зарядная станция
Выходные интерфейсы
USB, USB Type-C, DC, AC
Количество выходных разъемов
10
Макс. выходной ток
5
Назначение
Для бытовых приборов
Быстрая зарядка
Да
Выходное напряжение
220 В
Основной материал корпуса
Пластик
Функция беспроводной зарядки
Нет
Химический тип
LiFePo4 (литий-железо-фосфатный)
Цвет
Серый
Активная мощность, Вт
150
Входное напряжение
14,6 В
Входные интерфейсы
DC
Количество в упаковке, шт
1
Размеры, мм
235x165x221 мм
Вес товара, г
2380
Упаковка
Коробка
Гарантия
12 месяцев
Срок службы, лет
5
Страна-изготовитель
Россия
Особенности: Зарядка двух устройств, Зарядка ноутбуков, Индикатор емкости, Дисплей, Зарядка Type-C";"https://ir.ozone.ru/s3/multimedia-1-0/wc1000/9182838708.jpg";"https://www.ozon.ru/product/nikass-portativnaya-zaryadnaya-stantsiya-150w-220v-48000-mach-150-vt-seryy-1755807862/?_bctx=CAMQxYakMA&at=1kyl1Pbr_NGS4BITLu5EC-E041IoTO0Y"
"3204449436";"NIKASS Инвертор автомобильный, 2300 Вт арт. 2300";"Автотовары > Запчасти для легковых авто > Электрооборудование > Инверторы";"12566";"120000";"89";"Инвертор 2300 Вт / 5000 Вт
Тип Синуса: Модифицированный
Номинальная мощность: 2300 Вт
Максимальная мощность: 5000 Вт
Частота: 50 Гц
Входное напряжение: 12В
Выходное напряжение: 220В
Особенности: Умная система охлаждения, комплексная защита.

КОМПЛЕКТАЦИЯ:

Провода 50 см
Клеммы

Что можно подключить:
Электроинструмент: Дрели, шуруповерты, перфораторы, болгарки, дисковые пилы, сабельные пилы, лобзики, тепловые пушки и фены для строительных работ.

Сварочные аппараты (до 5000Вт), компрессоры для подкачки шин или покраски, автоклавы для мойки

Кухня: Электрические чайники, кофеварки, мультиварки и скороварки, микроволновые печи, кухонные комбайны, мощные блендеры.

Быт: Ноутбуки, мониторы, телевизоры, проекторы, игровые консоли, мощные аудиосистемы, освещение, прожекторы.

Комфорт: Небольшие обогреватели или вентиляторы, электробритвы, фены средней мощности.

В доме/на даче: освещение, систему охраны или связь.

Насосы скважинные малой мощности, поверхностные водяные насосы для полива.

НЕ ПОДХОДИТ ДЛЯ:
Техники с электродвигателями (холодильники, компрессоры, кондиционеры),
Чувствительной электроники.

Важно проверять совместимость перед покупкой.";"Инвертор, провода 50 см, клеммы";"Артикул
3204449436
Тип
Инвертор автомобильный
Партномер (артикул производителя)
2300
Количество, штук
1
Мощность, Вт
2300
Питание от
автомобильной сети
Тип двигателя
Аккумуляторный
Рабочее напряжение, В
12-220
Вид техники
Легковые автомобили
Цвет
Черный
Гарантия
12 месяцев
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-g/wc1000/8565574120.jpg";"https://www.ozon.ru/product/nikass-invertor-avtomobilnyy-2300-vt-art-2300-3204449436/?_bctx=CAMQxYakMA&at=1kyl1VhjqtAi2Nhc5fwjJt2hU-oq-b53"
"3491023348";"NIKASS Внешний аккумулятор PowerBank, 20000 мАч, черный";"Электроника > Аксессуары для электроники > Внешние аккумуляторы";"2050";"25000";"91";"Внешний аккумулятор Power Bank
Внешний аккумулятор Power Bank / Повербанк 20000 mAh от NIKASS: Ваш надежный источник энергии на каждый день!

Устали от разряженных устройств в самый неподходящий момент? С Power Bank 20000 mAh от Nikass ваши гаджеты всегда будут заряжены, где бы Вы ни находились — дома, в дороге или на отдыхе. Это мощное устройство, которое станет незаменимым спутником для каждого, кто ценит комфорт и надежность.

Основные преимущества:
🔋 Габариты — высота: 149 мм, ширина: 71 мм, глубина: 33 мм, легко помещается в рюкзак или сумку, обеспечивая удобство использования в любых условиях.
🔋 Вес — 428 гр., достаточно компактный для транспортировки.
🔋 Максимальная емкость — 20000 mAh, заряжайте свой смартфон до 10 раза или планшет до 5 раз. Забудьте о поиске розетки!
🔋 Совместимость — подходит для любых устройств: iPhone, Samsung, Huawei, Xiaomi, планшетов, наушников, смарт-часов, колонок и другой техники. Порты USB, Micro, Type-C, Lightning, съемные кабели обеспечивают универсальность.
🔋 Быстрая зарядка — 22.5W, поддержка технологии быстрой зарядки позволяет восполнять заряд за короткое время, экономя ваше время.
🔋 Безопасность — защита от перегрева, короткого замыкания и перепадов напряжения гарантирует сохранность ваших гаджетов.
🔋 Подвесная ручка — удобно для переноски и подвешивания устройства.
Идеален для использования в любых условиях:
— На природе: Незаменим в походах, кемпингах, на пикниках, охоте и рыбалке. Заряжает гаджеты вдали от цивилизации.
— В путешествиях: Идеален для зарядки устройств в дороге, будь то автомобильные поездки или длительные перелёты. Оставайтесь на связи даже вдали от дома.
— Дома: Спасёт при отключении электроэнергии, обеспечив подзарядку смартфонов, планшетов и других устройств.
— Для военных в СВО: Надёжный источник энергии в полевых условиях, устойчивый к нагрузкам и незаменимый в экстренных ситуациях.
— Подарок: Универсальный и полезный презент, подходящий каждому.
Почему выбирают нас?
✅ Качество: Мы продаем только сертифицированные устройства, которые прошли все необходимые проверки и соответствуют высоким стандартам безопасности и надежности.
✅ Универсальность: Наши Power Bank подходят для зарядки всех современных гаджетов, будь-то смартфоны, планшеты или ноутбуки — универсальность в каждой детали.
✅ Гарантия: Мы уверены в качестве нашей продукции, поэтому предоставляем гарантию на все устройства. В случае брака — возврат или обмен без проблем.";"PowerBank";"Артикул
3491023348
Емкость, мА•ч
20000
Тип
Внешний аккумулятор
Выходные интерфейсы
USB, microUSB, Lightning, USB Type-C
Количество выходных разъемов
8
Назначение
Универсальный
Быстрая зарядка
Да
Основной материал корпуса
Пластик
Функция беспроводной зарядки
Нет
Химический тип
LiPol (литий-полимерный)
Цвет
Черный
Входные интерфейсы
Lightning, USB Type-C, USB
Количество в упаковке, шт
1
Размеры, мм
149 x 71 x 33
Вес товара, г
428
Упаковка
Картонная коробка
Гарантия
12 месяцев
Страна-изготовитель
Россия
Особенности: Индикатор емкости, Быстрая зарядка Quick Charge, Зарядка двух устройств, Зарядка ноутбуков";"https://ir.ozone.ru/s3/multimedia-1-g/wc1000/9009016396.jpg";"https://www.ozon.ru/product/nikass-vneshniy-akkumulyator-powerbank-20000-mach-chernyy-3491023348/?_bctx=CAMQxYakMA&at=1kyl1RYBcTQ1FM378c03ZjmFEQEUqXtz"
"1896136316";"Резервный источник питания 150 Вт 48000 mAh 153wh";"Электроника > Компьютеры и периферия > Периферия > ИБП и аксессуары";"14293";"75000";"80";"Независимость везде
Ищете надёжный источник энергии для кемпинга, рыбалки или аварийного питания дома? Портативная электростанция NIKASS с ёмкостью 48 000 мАч 3.2V и мощностью 150 Вт — ваш идеальный спутник в любых условиях!

Почему выбирают NIKASS 150 Вт?
✅ Заряжайте до 10 устройств одновременно: телефоны, ноутбуки, дроны, проекторы, рации и даже мини-холодильники.
✅ Быстрая зарядка + сквозное питание: подключайте гаджеты без остановки работы станции.
✅ Безопасность превыше всего: защита от перегрузок, перегрева и короткого замыкания.
✅ Суперкомпактный дизайн: всего 2.4 кг, встроенная ручка и размер чемоданчика — идеально для рюкзака или багажника.

То что нужно
Кемпинг и походы: освещение палатки, зарядка GPS-навигатора, работа мини-вентилятора.

Рыбалка и охота: питание эхолота, рации, камеры ночного видения.

Дом и дача: резервное питание роутера, светильников, подзарядка смартфонов и планшетов при отключении электричества.

Путешествия на авто: подзарядка ноутбука в дороге, освещение.

Преимущества
- Розетка 220 В + 4 USB-порта (включая Type-C) + DC-выходы.
- LIFEPO4 аккумулятор 3,2 V с увеличенным сроком службы.
- Солнечная зарядка (опционально) — используйте энергию солнца в походных условиях.

Не теряйте комфорт даже в экстремальных условиях!
С NIKASS вы не зависите от розеток: заряжайте гаджеты, подключайте технику и сохраняйте уверенность в завтрашнем дне. Это не просто повербанк с розеткой — это автономная энергосистема, которая помещается в одной руке";"Портативная зарядная станция, АС адаптер (блок питания), руководство пользователя";"Артикул
1896136316
Вид ИБП
Резервный (Back UPS)
Активная мощность, Вт
150
Цвет
Серый
Тип аккумулятора
LiFePo4 (литий-железо-фосфатный)
Емкость, А•ч
48
Входное напряжение
14,6 В
Выходное напряжение
220 В
Особенности ИБП
Индикация
Длина, мм
235
Ширина, мм
165
Высота, мм
221
Размеры, мм
235x165x221 мм
Вес товара, г
2380
Гарантия
12 месяцев
Срок службы, лет
5
Страна-изготовитель
Россия";"https://ir.ozone.ru/s3/multimedia-1-v/wc1000/7347827011.jpg";"https://www.ozon.ru/product/rezervnyy-istochnik-pitaniya-150-vt-48000-mah-153wh-1896136316/?_bctx=CAMQxYakMA&at=1kyl1OM3zMs_9jLN-zjjTfTwST3li-4A"
"1755810943";"NIKASS Портативная зарядная станция 300W, 220V, 72000 мАч, 300 Вт, серый";"Электроника > Аксессуары для электроники > Внешние аккумуляторы";"21975";"158000";"86";"Независимость везде
Ищете надёжный источник энергии для кемпинга, рыбалки или аварийного питания дома? Портативная электростанция NIKASS с ёмкостью 72 000 мАч 3.2V и мощностью 300 Вт — ваш идеальный спутник в любых условиях!

Почему выбирают NIKASS 300 Вт?
✅ Заряжайте до 10 устройств одновременно: телефоны, ноутбуки, дроны, проекторы, рации и даже мини-холодильники.
✅ Быстрая зарядка + сквозное питание: подключайте гаджеты без остановки работы станции.
✅ Безопасность превыше всего: защита от перегрузок, перегрева и короткого замыкания.
✅ Суперкомпактный дизайн: всего 2.9 кг, встроенная ручка и размер чемоданчика — идеально для рюкзака или багажника.

То что нужно
Кемпинг и походы: освещение палатки, зарядка GPS-навигатора, работа мини-вентилятора.

Рыбалка и охота: питание эхолота, рации, камеры ночного видения.

Дом и дача: резервное питание роутера, медицинской техники, светильников при отключении электричества.

Путешествия на авто: подзарядка ноутбука в дороге, работа электрогриля на пикнике.

Преимущества
- Розетка 220 В + 4 USB-порта (включая Type-C) + DC-выходы.
- LIFEPO4 аккумулятор 3,2 V с увеличенным сроком службы.
- Солнечная зарядка (опционально) — используйте энергию солнца в походных условиях.

Не теряйте комфорт даже в экстремальных условиях!
С NIKASS вы не зависите от розеток: заряжайте гаджеты, подключайте технику и сохраняйте уверенность в завтрашнем дне. Это не просто повербанк с розеткой — это автономная энергосистема, которая помещается в одной руке";"Портативная зарядная станция, АС адаптер (блок питания), руководство пользователя";"Артикул
1755810943
Емкость, мА•ч
72000
Тип
Портативная зарядная станция
Выходные интерфейсы
USB, USB Type-C, DC, AC
Количество выходных разъемов
10
Макс. выходной ток
5
Назначение
Для бытовых приборов
Быстрая зарядка
Нет
Выходное напряжение
220 В
Основной материал корпуса
Пластик
Функция беспроводной зарядки
Нет
Химический тип
LiFePo4 (литий-железо-фосфатный)
Цвет
Серый
Активная мощность, Вт
300
Входное напряжение
14,6 В
Входные интерфейсы
DC
Количество в упаковке, шт
1
Размеры, мм
235х165х221 мм
Вес товара, г
2900
Упаковка
Коробка
Гарантия
12 месяцев
Срок службы, лет
5
Страна-изготовитель
Россия
Особенности: Зарядка двух устройств, Зарядка ноутбуков, Индикатор емкости, Дисплей, Зарядка Type-C";"https://ir.ozone.ru/s3/multimedia-1-y/wc1000/7682184538.jpg";"https://www.ozon.ru/product/nikass-portativnaya-zaryadnaya-stantsiya-300w-220v-72000-mach-300-vt-seryy-1755810943/?_bctx=CAMQxYakMA&at=1kyl1WfqqplTUVLlULHBT1Ey5_smL8Tq"
